date,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after,k_factor
2018-05-30,Malawi,Botswana,1.0,1.0,1500.0179886355781,1504.9820113644219,1500.0179886355781,1504.9820113644219,0.0
2018-05-30,Angola,Mauritius,1.0,0.0,1500.0,1504.9820113644219,1500.0,1504.9820113644219,0.0
2018-05-30,Estonia,Lithuania,2.0,0.0,1497.5179886355781,1500.0179886355781,1497.5179886355781,1500.0179886355781,0.0
2018-05-30,Japan,Ghana,0.0,2.0,1497.499998150583,1500.0,1495.017986799468,1502.482011351115,5.0
2018-05-30,Central African Republic,Uganda,1.0,0.0,1502.4820113644219,1502.4820113644219,1504.9820113644219,1499.9820113644219,5.0
2018-05-31,Comoros,Madagascar,0.0,1.0,1500.0,1497.5,1500.0,1497.5,0.0
2018-05-31,Ellan Vannin,Cascadia,4.0,1.0,1502.5,1500.0,1502.5,1500.0,0.0
2018-05-31,Ukraine,Morocco,0.0,0.0,1502.499744828117,1504.9820113644219,1502.5176058677264,1504.9641503248124,5.0
2018-05-31,Romania,Chile,3.0,2.0,1504.981881932534,1502.5,1507.46402366023,1500.017858272304,5.0
2018-05-31,Luxembourg,Senegal,0.0,0.0,1500.0,1500.0001294386377,1500.0000009313858,1500.000128507252,5.0
2018-05-31,Mozambique,Seychelles,2.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-31,Slovakia,Netherlands,1.0,1.0,1504.9820113644219,1500.0359754085453,1504.946424178844,1500.0715625941232,5.0
2018-05-31,Northern Cyprus,Kárpátalja,1.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-31,Székely Land,Tuvalu,4.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-31,Padania,Matabeleland,6.0,1.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-31,United Koreans in Japan,Western Armenia,0.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-31,Panjab,Kabylia,8.0,0.0,1497.5,1500.0,1497.5,1500.0,0.0
2018-05-31,Abkhazia,Tibet,3.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-05-31,Barawa,Tamil Eelam,4.0,0.0,1497.4822693103115,1500.0,1497.4822693103115,1500.0,0.0
2018-06-01,Algeria,Cape Verde,2.0,3.0,1497.4637703375663,1500.0,1494.9820196528276,1502.4817506847387,5.0
2018-06-01,France,Italy,3.0,1.0,1502.4820113644219,1500.0715699040516,1504.9646671221544,1497.588914146319,5.0
2018-06-01,Turkey,Tunisia,2.0,2.0,1504.9998724371537,1504.9814964983523,1504.9997402116453,1504.9816287238607,5.0
2018-06-01,Czech Republic,Australia,0.0,4.0,1500.0,1497.5359754085453,1497.4822702150846,1500.0537051934607,5.0
2018-06-01,South Korea,Bosnia and Herzegovina,1.0,3.0,1502.3937441989838,1500.0178601283262,1499.8766486053262,1502.5349557219838,5.0
2018-06-01,Colombia,Egypt,0.0,0.0,1502.4640245914547,1495.0182484103964,1502.410456125686,1495.071816876165,5.0
2018-06-01,Botswana,Mauritius,6.0,0.0,1504.9820113644219,1504.9820113644219,1504.9820113644219,1504.9820113644219,0.0
